,Product Name,Prices,Descriptio
0,GREENBERRI G370,"₹1,199",32 MB RAM | 32 MB ROM3.66 cm (1.44 inch) Display2MP Rear Camera800 mAh Battery1 YEAR
1,LAVA Flip,"₹1,899",56 MB RAM | 56 MB ROM6.1 cm (2.4 inch) Display0.08MP Rear Camera1200 mAh Battery1 YEAR BRAND WARANTY FOR MOBILE AND SIX MONTH WARANTY FOR ALL ITS ASSESARY
2,Nokia 2660 TA-1480 DS,"₹4,524",0.046875 GB RAM | 0.125 GB ROM7.11 cm (2.8 Inch) QVGA Display0.3MP Rear Camera1450 mAh Lithium Ion Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including battery from the date of purchase
3,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)","₹28,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4500 mAh Battery12 Month
4,Cellecor X3,"₹1,105",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB4.57 cm (1.8 inch) Display0.3MP Rear Camera1000 mAh Battery1 Year Domestic Warranty
5,Cellecor E3,"₹1,061",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB4.57 cm (1.8 inch) Display0.8MP Rear Camera1000 mAh Battery1 Year Manufacturer Warranty
6,Kechaoda K33,"₹1,120",32 MB RAM | 32 MB ROM3.56 cm (1.4 inch) Display0.3MP Rear Camera800 mAh Battery1 Year Warranty
7,"REDMI A1+ (Black, 32 GB)","₹7,499",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB16.56 cm (6.52 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh Lithium Polymer BatteryMediatek Helio A22 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
8,Kechaoda K9,"₹1,299",32 MB RAM | 64 MB ROM | Expandable Upto 16 GB6.1 cm (2.4 inch) QVGA Display0.3MP Rear Camera1700 mAh Battery1 Year Manufacturer Warranty
9,Nokia 125 DS,"₹2,359",4 MB RAM | 4 MB ROM6.1 cm (2.4 inch) Display1020 mAh Battery1 year
10,"REDMI 10A SPORT (SLATE GREY, 128 GB)","₹10,499",6 GB RAM | 128 GB ROM16.59 cm (6.53 inch) Display13MP Rear Camera5000 mAh Battery12 Months Warranty
11,MTR Ferrari,"₹1,360",64 MB RAM | 64 MB ROM4.5 cm (1.77 inch) Display0.3MP Rear Camera800 mAh Battery12 Months
12,MTR Ferrari,"₹1,390",64 MB RAM | 64 MB ROM4.5 cm (1.77 inch) Display0.3MP Rear Camera800 mAh Battery12 Months
13,KARBONN KX 29,"₹1,489",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB6.1 cm (2.4 inch) Display0.3MP Rear Camera2700 mAh Battery1 Year Manufacturer Warranty on Handset & 6 Months Warranty on Box Accessories
14,Kechaoda K9,"₹1,260",32 MB RAM | 64 MB ROM | Expandable Upto 16 GB6.1 cm (2.4 inch) QVGA Display0.3MP Rear Camera1700 mAh Battery1 Year Manufacturer Warranty
15,"vivo Y72 5G (Slate Gray, 128 GB)","₹17,759",8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display48MP + 2MP | 8MP Front Camera5000 mAh BatteryQualcomm Snapdragon 480 Processor1 Year for Handset and 6 Months for In-box Accessories
16,Nokia 3310 DS 2020,"₹4,199",16 MB ROM | Expandable Upto 32 GB6.1 cm (2.4 inch) QVGA Display2MP Rear Camera1200 mAh BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
17,"IQOO Z6 Lite 5G (Without Charger) (Mystic Night, 64 GB)","₹13,699",4 GB RAM | 64 GB ROM16.97 cm (6.68 inch) Display50MP Rear Camera5000 mAh Battery1 Year
18,"itel A25 (Gradation Blue, 16 GB)","₹4,800",1 GB RAM | 16 GB ROM | Expandable Upto 32 GB12.7 cm (5 inch) HD Display5MP Rear Camera | 2MP Front Camera3020 mAh BatteryCortex A53 architecture (Quad core) Processor100 Days replacement with 1 year warranty for handset and 6 months warranty for accessories(T&C Apply).
19,Micromax S115,₹996,32 MB RAM | 32 MB ROM4.5 cm (1.77 inch) Display1000 mAh Battery1 Year Manufacturer Warranty
20,"I Kall Z19Pro Flash blue (Flash Blue, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB16.51 cm (6.5 inch) HD+ Display13MP Rear Camera | 8MP Front Camera5000 mAh BatteryOcta Core Processor1 Year Domestic Warrantyages
21,"itel Vision 3 (Jewel Blue, 64 GB)","₹6,699","3 GB RAM | 64 GB ROM | Expandable Upto 128 GB16.76 cm (6.6 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh Lithium Polymer BatteryUnisoc 9863A Processor18W Fast ChargingDual Security- Fast Fingerprint sensor and Face unlock for enhanced securityOne Time Screen Replacement Within 100 Days of Purchase, 1 Year Warranty on Mobile Device & 6 Months on Accessories"
22,Cellecor R3+,"₹1,046",32 MB RAM | 32 MB ROM4.5 cm (1.77 inch) Display0.8MP Rear Camera1000 mAh Battery1 Year Manufacturer Warranty
23,"SAMSUNG Galaxy A34 5G (Awesome Lime, 128 GB)","₹30,999","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display48MP + 8MP + 5MP | 13MP Front Camera5000 mAh Li-ion Battery BatteryDimensity 1080, Octa Core Processor1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories"
